BLZ;name;city;shortName;BIC
13070024;Deutsche Bank Privat und Geschäftskunden;Wittenberge, Prignitz;Deutsche Bank PGK Wittenber;DEUTDEDB149
13070024;Deutsche Bank Privat und Geschäftskunden;Wolgast;Deutsche Bank PGK Wolgast;DEUTDEDB159
13080000;Commerzbank vormals Dresdner Bank;Rostock;Commerzbank Rostock;DRESDEFF130
13090000;Rostocker Volks- und Raiffeisenbank;Rostock;Rostocker VR Bank;GENODEF1HR1
13091054;Pommersche Volksbank;Stralsund;Pommersche Volksbank;GENODEF1HST
14040000;Commerzbank;Schwerin, Meckl;Commerzbank Schwerin;COBADEFFXXX
14051000;Sparkasse Mecklenburg-Nordwest;Wismar, Meckl;Spk Mecklenburg-Nordwest;NOLADE21WIS
14051362;Sparkasse Parchim-Lübz;Parchim;Sparkasse Parchim-Lübz;NOLADE21PCH
14051462;Sparkasse Schwerin -alt-;Schwerin, Meckl;Sparkasse Schwerin -alt-;NOLADE21SNS
14052000;Sparkasse Mecklenburg-Schwerin;Schwerin, Meckl;Spk Mecklenburg-Schwerin;NOLADE21LWL
14061308;Volks- und Raiffeisenbank;Güstrow;VB u Raiffbk Güstrow;GENODEF1GUE
14061438;Raiffeisen-Volksbank -alt-;Gadebusch;Raiffeisen-VB Gadebusch-alt;GENODEF1GDB
14080000;Commerzbank vormals Dresdner Bank;Schwerin, Meckl;Commerzbank Schwerin;DRESDEFF140
14080011;Commerzbank vormals Dresdner Bank Zw W;Schwerin, Meckl;Commerzbank Schwerin Zw W;DRESDEFFI27
14091464;VR-Bank;Schwerin, Meckl;VR-Bank Schwerin;GENODEF1SN1
15000000;Bundesbank;Neubrandenburg, Meckl;BBk Neubrandenburg;MARKDEF1150
15040068;Commerzbank;Neubrandenburg, Meckl;Commerzbank Neubrandenburg;COBADEFFXXX
15050100;Müritz-Sparkasse;Waren (Müritz);Müritz-Sparkasse Waren;NOLADE21WRN
15050200;Sparkasse Neubrandenburg-Demmin;Neubrandenburg, Meckl;Spk Neubrandenburg-Demmin;NOLADE21NBS
15050400;Sparkasse Uecker-Randow;Pasewalk;Sparkasse Uecker-Randow;NOLADE21PSW
15050500;Sparkasse Vorpommern;Greifswald, Hansestadt;Spk Vorpommern;NOLADE21GRW
15051732;Sparkasse Mecklenburg-Strelitz;Neustrelitz;Spk Mecklenburg-Strelitz;NOLADE21MST
15061618;Raiffeisenbank Mecklenburger Seenplatte;Waren (Müritz);Raiffbk Mecklenb Seenplatte;GENODEF1WRN
15061638;Volksbank Raiffeisenbank;Greifswald, Hansestadt;Volksbank Raiffeisenbank;GENODEF1ANK
15061698;Raiffeisenbank Malchin;Malchin;Raiffeisenbank Malchin;GENODEF1MAL
15080000;Commerzbank vormals Dresdner Bank;Neubrandenburg, Meckl;Commerzbank Neubrandenbg;DRESDEFF150
15091674;Volksbank Demmin;Demmin, Hansestadt;Volksbank Demmin;GENODEF1DM1
15091704;VR-Bank Uckermark-Randow;Prenzlau;VR-Bank Uckermark-Randow;GENODEF1PZ1
16010111;SEB;Potsdam;SEB Potsdam;ESSEDE5F160
16010111;SEB;Cottbus;SEB Cottbus;ESSEDE5F161
16010300;Investitionsbank des Landes Brandenburg;Potsdam;Investitionsbk Potsdam;ILBXDE8XXXX
16020086;UniCredit Bank - HypoVereinsbank;Potsdam;UniCredit Bank-HypoVereinbk;HYVEDEMM470
16040000;Commerzbank;Potsdam;Commerzbank Potsdam;COBADEFFXXX
16050000;Mittelbrandenburgische Sparkasse in Potsdam;Potsdam;Mittelbrandenbg Sparkasse;WELADED1PMB
16050101;Sparkasse Prignitz;Pritzwalk;Sparkasse Prignitz;WELADED1PRP
16050202;Sparkasse Ostprignitz-Ruppin;Neuruppin;Spk Ostprignitz-Ruppin;WELADED1OPR
16050500;LBS Ostdeutsche Landesbausparkasse;Potsdam;LBS Ost Potsdam;LBSODEB1XXX
16060122;Volks- und Raiffeisenbank Prignitz;Perleberg;Volks- u Raiffbk Prignitz;GENODEF1PER
